20250119-18:54:46 - ---------------------------------------------------------------------------
20250119-18:54:47 - 取得公藥消耗帳,(2024/10/21 18:54:46-2025/01/19 18:54:46)共<3137>筆
20250119-18:54:48 - 取得急診消耗帳,(2024/10/21 18:54:46-2025/01/19 18:54:46)共<12566>筆
20250119-18:54:50 - 取得住院消耗帳,(2024/10/21 18:54:46-2025/01/19 18:54:46)共<50189>筆
20250119-18:54:50 - 取得門診消耗帳,(2024/10/21 18:54:46-2025/01/19 18:54:46)共<63228>筆
20250119-18:54:53 - (2024/10/21 18:54:46-2025/01/19 18:54:46)共有<129120>筆消耗帳,<1675>種藥品
20250119-18:54:53 - 藥碼 : D1054 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1175 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1150 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2145 ,找無售價資料
20250119-18:54:53 - 藥碼 : G1030 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2140 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1093 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1140 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1117 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2138 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2057 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1043 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1008 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1231 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1127 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1084 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1148 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1094 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2098 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1012 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2183 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2175 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1176 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2185 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1110 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2076 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1211 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2135 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1009 ,找無售價資料
20250119-18:54:53 - 藥碼 : G1010 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1105 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1133 ,找無售價資料
20250119-18:54:53 - 藥碼 : F2008 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2189 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2155 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2184 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1138 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1041 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2068 ,找無售價資料
20250119-18:54:53 - 藥碼 : F2010 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1205 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1044 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1209 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1195 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1187 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2100 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2191 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2067 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1050 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2055 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1108 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1217 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2086 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2042 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2151 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1119 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1247 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2124 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1035 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2039 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2059 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2104 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1154 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1060 ,找無售價資料
20250119-18:54:53 - 藥碼 : G1007 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1102 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2159 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2300 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2007 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1113 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1171 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1083 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2071 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1197 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2092 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2097 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2186 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2153 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2195 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2177 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1179 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2158 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1101 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2190 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2143 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1215 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2082 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1049 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2012 ,找無售價資料
20250119-18:54:53 - 藥碼 : G1020 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2198 ,找無售價資料
20250119-18:54:53 - 藥碼 : D1095 ,找無售價資料
20250119-18:54:53 - 藥碼 : G2009 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2029 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2120 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2066 ,找無售價資料
20250119-18:54:53 - 藥碼 : D2144 ,找無售價資料
20250119-18:54:54 - 藥碼 : F2006 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1243 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1109 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1062 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1092 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2192 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2134 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1151 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1310 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2126 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1131 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1075 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2053 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1056 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1080 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1003 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1141 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1188 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1068 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1029 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1057 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2081 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2128 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2239 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2102 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2085 ,找無售價資料
20250119-18:54:54 - 藥碼 : G2007 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1072 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1007 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2094 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2041 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2108 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2037 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1058 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1193 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1152 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2049 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1235 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2091 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2167 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1245 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2051 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1146 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1097 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2099 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1004 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2052 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1020 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2160 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1079 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1223 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1192 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2065 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1112 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1168 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1174 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1070 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1240 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1055 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1237 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1166 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1066 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2299 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1203 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2187 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2136 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1047 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1288 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1006 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1022 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1015 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2074 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2026 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2048 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1014 ,找無售價資料
20250119-18:54:54 - 藥碼 : D1046 ,找無售價資料
20250119-18:54:54 - 藥碼 : D2023 ,找無售價資料
20250119-18:54:54 - 藥碼 : F2004 ,找無售價資料
