20240630-23:56:11 - ---------------------------------------------------------------------------
20240630-23:56:12 - 取得公藥消耗帳,(2024/04/01 23:56:11-2024/06/30 23:56:11)共<2989>筆
20240630-23:56:12 - 取得急診消耗帳,(2024/04/01 23:56:11-2024/06/30 23:56:11)共<11698>筆
20240630-23:56:14 - 取得住院消耗帳,(2024/04/01 23:56:11-2024/06/30 23:56:11)共<45852>筆
20240630-23:56:15 - 取得門診消耗帳,(2024/04/01 23:56:11-2024/06/30 23:56:11)共<57753>筆
20240630-23:56:16 - (2024/04/01 23:56:11-2024/06/30 23:56:11)共有<118292>筆消耗帳,<1736>種藥品
20240630-23:56:16 - 藥碼 : D1008 ,找無售價資料
20240630-23:56:16 - 藥碼 : D1140 ,找無售價資料
20240630-23:56:16 - 藥碼 : F2008 ,找無售價資料
20240630-23:56:16 - 藥碼 : D2124 ,找無售價資料
20240630-23:56:16 - 藥碼 : D2091 ,找無售價資料
20240630-23:56:16 - 藥碼 : D2158 ,找無售價資料
20240630-23:56:16 - 藥碼 : F2010 ,找無售價資料
20240630-23:56:16 - 藥碼 : D1087 ,找無售價資料
20240630-23:56:16 - 藥碼 : D2138 ,找無售價資料
20240630-23:56:16 - 藥碼 : D1049 ,找無售價資料
20240630-23:56:16 - 藥碼 : D2071 ,找無售價資料
20240630-23:56:16 - 藥碼 : D1176 ,找無售價資料
20240630-23:56:16 - 藥碼 : D2184 ,找無售價資料
20240630-23:56:16 - 藥碼 : D1195 ,找無售價資料
20240630-23:56:16 - 藥碼 : D2105 ,找無售價資料
20240630-23:56:16 - 藥碼 : D2113 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2175 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1244 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1003 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2200 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2089 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2189 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1171 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1093 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2037 ,找無售價資料
20240630-23:56:17 - 藥碼 : D1041 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2135 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2151 ,找無售價資料
20240630-23:56:17 - 藥碼 : D2143 ,找無售價資料
