20240709-12:19:10 - ---------------------------------------------------------------------------
20240709-12:19:11 - 取得公藥消耗帳,(2024/04/10 12:19:08-2024/07/09 12:19:08)共<3105>筆
20240709-12:19:12 - 取得急診消耗帳,(2024/04/10 12:19:08-2024/07/09 12:19:08)共<11863>筆
20240709-12:19:15 - 取得住院消耗帳,(2024/04/10 12:19:08-2024/07/09 12:19:08)共<46217>筆
20240709-12:19:15 - 取得門診消耗帳,(2024/04/10 12:19:08-2024/07/09 12:19:08)共<58444>筆
20240709-12:19:17 - (2024/04/10 12:19:08-2024/07/09 12:19:08)共有<119629>筆消耗帳,<1736>種藥品
20240709-12:19:17 - 藥碼 : D1008 ,找無售價資料
20240709-12:19:17 - 藥碼 : D1140 ,找無售價資料
20240709-12:19:17 - 藥碼 : F2008 ,找無售價資料
20240709-12:19:17 - 藥碼 : D2124 ,找無售價資料
20240709-12:19:17 - 藥碼 : F2010 ,找無售價資料
20240709-12:19:17 - 藥碼 : D1087 ,找無售價資料
20240709-12:19:17 - 藥碼 : D2138 ,找無售價資料
20240709-12:19:17 - 藥碼 : D2071 ,找無售價資料
20240709-12:19:17 - 藥碼 : D2184 ,找無售價資料
20240709-12:19:17 - 藥碼 : D1195 ,找無售價資料
20240709-12:19:17 - 藥碼 : D2105 ,找無售價資料
20240709-12:19:17 - 藥碼 : D2113 ,找無售價資料
20240709-12:19:17 - 藥碼 : D2158 ,找無售價資料
20240709-12:19:17 - 藥碼 : D2175 ,找無售價資料
20240709-12:19:17 - 藥碼 : D1176 ,找無售價資料
20240709-12:19:17 - 藥碼 : D1244 ,找無售價資料
20240709-12:19:17 - 藥碼 : D1003 ,找無售價資料
20240709-12:19:17 - 藥碼 : D2200 ,找無售價資料
20240709-12:19:17 - 藥碼 : D2089 ,找無售價資料
20240709-12:19:17 - 藥碼 : D2189 ,找無售價資料
20240709-12:19:17 - 藥碼 : D1171 ,找無售價資料
20240709-12:19:17 - 藥碼 : D1093 ,找無售價資料
20240709-12:19:17 - 藥碼 : D2037 ,找無售價資料
20240709-12:19:17 - 藥碼 : D1041 ,找無售價資料
20240709-12:19:17 - 藥碼 : D2135 ,找無售價資料
20240709-12:19:17 - 藥碼 : D2151 ,找無售價資料
20240709-12:19:17 - 藥碼 : D2143 ,找無售價資料
20240709-12:19:17 - 藥碼 : D2065 ,找無售價資料
20240709-12:19:17 - 藥碼 : D1240 ,找無售價資料
20240709-12:19:17 - 藥碼 : D2153 ,找無售價資料
20240709-12:19:17 - 藥碼 : D1095 ,找無售價資料
20240709-12:19:17 - 藥碼 : D1084 ,找無售價資料
20240709-12:19:17 - 藥碼 : D1105 ,找無售價資料
20240709-12:19:17 - 藥碼 : D2029 ,找無售價資料
20240709-12:19:17 - 藥碼 : D1247 ,找無售價資料
20240709-12:19:17 - 藥碼 : F2006 ,找無售價資料
20240709-12:19:17 - 藥碼 : D1078 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1118 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2119 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1110 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1054 ,找無售價資料
20240709-12:19:18 - 藥碼 : G1010 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2085 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1193 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2108 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1014 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2169 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2145 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1248 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2299 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2068 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1067 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1094 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1102 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2055 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2091 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2140 ,找無售價資料
20240709-12:19:18 - 藥碼 : G2015 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1175 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1080 ,找無售價資料
20240709-12:19:18 - 藥碼 : G2020 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1174 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1187 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2157 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1217 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1049 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2042 ,找無售價資料
20240709-12:19:18 - 藥碼 : G1007 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2051 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2012 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1148 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1037 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2063 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2144 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2099 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1150 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2066 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2034 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1083 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2126 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2104 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1022 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1205 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1179 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2076 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2057 ,找無售價資料
20240709-12:19:18 - 藥碼 : F2004 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2195 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1100 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1237 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2120 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2198 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2038 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2125 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1192 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1141 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1038 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1172 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1033 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1310 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2077 ,找無售價資料
20240709-12:19:18 - 藥碼 : D2041 ,找無售價資料
20240709-12:19:18 - 藥碼 : D1231 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1035 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1211 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1066 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1178 ,找無售價資料
20240709-12:19:19 - 藥碼 : D2064 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1119 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1239 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1154 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1197 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1059 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1056 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1163 ,找無售價資料
20240709-12:19:19 - 藥碼 : D2035 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1065 ,找無售價資料
20240709-12:19:19 - 藥碼 : D2044 ,找無售價資料
20240709-12:19:19 - 藥碼 : D2165 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1079 ,找無售價資料
20240709-12:19:19 - 藥碼 : G2009 ,找無售價資料
20240709-12:19:19 - 藥碼 : D2080 ,找無售價資料
20240709-12:19:19 - 藥碼 : D2100 ,找無售價資料
20240709-12:19:19 - 藥碼 : D2098 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1064 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1057 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1050 ,找無售價資料
20240709-12:19:19 - 藥碼 : D2183 ,找無售價資料
20240709-12:19:19 - 藥碼 : D2106 ,找無售價資料
20240709-12:19:19 - 藥碼 : D2185 ,找無售價資料
20240709-12:19:19 - 藥碼 : D2039 ,找無售價資料
20240709-12:19:19 - 藥碼 : D2142 ,找無售價資料
20240709-12:19:19 - 藥碼 : D2024 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1246 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1015 ,找無售價資料
20240709-12:19:19 - 藥碼 : D2178 ,找無售價資料
20240709-12:19:19 - 藥碼 : D2067 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1034 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1243 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1151 ,找無售價資料
20240709-12:19:19 - 藥碼 : D2190 ,找無售價資料
20240709-12:19:19 - 藥碼 : D2086 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1062 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1155 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1233 ,找無售價資料
20240709-12:19:19 - 藥碼 : D2192 ,找無售價資料
20240709-12:19:19 - 藥碼 : D2095 ,找無售價資料
20240709-12:19:19 - 藥碼 : D2059 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1134 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1127 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1101 ,找無售價資料
20240709-12:19:19 - 藥碼 : G2003 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1020 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1245 ,找無售價資料
20240709-12:19:19 - 藥碼 : D1210 ,找無售價資料
