20240815-22:01:57 - ---------------------------------------------------------------------------
20240815-22:01:59 - 取得急診消耗帳,(2024/05/17 22:01:57-2024/08/15 22:01:57)共<12008>筆
20240815-22:02:01 - 取得住院消耗帳,(2024/05/17 22:01:57-2024/08/15 22:01:57)共<47914>筆
20240815-22:02:02 - 取得門診消耗帳,(2024/05/17 22:01:57-2024/08/15 22:01:57)共<58899>筆
20240815-22:02:03 - (2024/05/17 22:01:57-2024/08/15 22:01:57)共有<118821>筆消耗帳,<1585>種藥品
20240815-22:02:03 - 藥碼 : D1008 ,找無售價資料
20240815-22:02:03 - 藥碼 : F2008 ,找無售價資料
20240815-22:02:03 - 藥碼 : D2124 ,找無售價資料
20240815-22:02:03 - 藥碼 : D1140 ,找無售價資料
20240815-22:02:03 - 藥碼 : D1087 ,找無售價資料
20240815-22:02:03 - 藥碼 : D2184 ,找無售價資料
20240815-22:02:03 - 藥碼 : G2003 ,找無售價資料
20240815-22:02:03 - 藥碼 : D2033 ,找無售價資料
20240815-22:02:03 - 藥碼 : D2144 ,找無售價資料
20240815-22:02:03 - 藥碼 : G2004 ,找無售價資料
20240815-22:02:03 - 藥碼 : D2007 ,找無售價資料
20240815-22:02:03 - 藥碼 : D2105 ,找無售價資料
20240815-22:02:03 - 藥碼 : D2066 ,找無售價資料
20240815-22:02:03 - 藥碼 : D2113 ,找無售價資料
20240815-22:02:03 - 藥碼 : D2158 ,找無售價資料
20240815-22:02:03 - 藥碼 : D1195 ,找無售價資料
20240815-22:02:03 - 藥碼 : D1244 ,找無售價資料
20240815-22:02:03 - 藥碼 : D1003 ,找無售價資料
20240815-22:02:03 - 藥碼 : D1110 ,找無售價資料
20240815-22:02:03 - 藥碼 : G1010 ,找無售價資料
20240815-22:02:03 - 藥碼 : D2200 ,找無售價資料
20240815-22:02:03 - 藥碼 : D1171 ,找無售價資料
20240815-22:02:03 - 藥碼 : D2175 ,找無售價資料
20240815-22:02:04 - 藥碼 : D1093 ,找無售價資料
20240815-22:02:04 - 藥碼 : D2037 ,找無售價資料
20240815-22:02:04 - 藥碼 : D2135 ,找無售價資料
20240815-22:02:04 - 藥碼 : D2143 ,找無售價資料
20240815-22:02:04 - 藥碼 : D2065 ,找無售價資料
20240815-22:02:04 - 藥碼 : D1240 ,找無售價資料
20240815-22:02:04 - 藥碼 : D2189 ,找無售價資料
20240815-22:02:04 - 藥碼 : D2138 ,找無售價資料
20240815-22:02:04 - 藥碼 : D2153 ,找無售價資料
20240815-22:02:04 - 藥碼 : D1095 ,找無售價資料
20240815-22:02:04 - 藥碼 : D2029 ,找無售價資料
20240815-22:02:04 - 藥碼 : D1176 ,找無售價資料
20240815-22:02:04 - 藥碼 : D2076 ,找無售價資料
20240815-22:02:04 - 藥碼 : D1118 ,找無售價資料
20240815-22:02:04 - 藥碼 : D2126 ,找無售價資料
20240815-22:02:04 - 藥碼 : D1041 ,找無售價資料
20240815-22:02:04 - 藥碼 : F2006 ,找無售價資料
20240815-22:02:04 - 藥碼 : D2108 ,找無售價資料
20240815-22:02:04 - 藥碼 : D2068 ,找無售價資料
20240815-22:02:04 - 藥碼 : D2195 ,找無售價資料
20240815-22:02:04 - 藥碼 : D1248 ,找無售價資料
20240815-22:02:04 - 藥碼 : D2086 ,找無售價資料
20240815-22:02:04 - 藥碼 : D1067 ,找無售價資料
20240815-22:02:04 - 藥碼 : D1094 ,找無售價資料
20240815-22:02:04 - 藥碼 : D1102 ,找無售價資料
