20240821-21:33:26 - ---------------------------------------------------------------------------
20240821-21:33:27 - 取得急診消耗帳,(2024/05/23 21:33:25-2024/08/21 21:33:25)共<12049>筆
20240821-21:33:30 - 取得住院消耗帳,(2024/05/23 21:33:25-2024/08/21 21:33:25)共<47888>筆
20240821-21:33:30 - 取得門診消耗帳,(2024/05/23 21:33:25-2024/08/21 21:33:25)共<58719>筆
20240821-21:33:34 - (2024/05/23 21:33:25-2024/08/21 21:33:25)共有<118656>筆消耗帳,<1583>種藥品
20240821-21:33:34 - 藥碼 : D1008 ,找無售價資料
20240821-21:33:34 - 藥碼 : F2008 ,找無售價資料
20240821-21:33:34 - 藥碼 : D2124 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1140 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1087 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2184 ,找無售價資料
20240821-21:33:35 - 藥碼 : G2003 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2033 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2144 ,找無售價資料
20240821-21:33:35 - 藥碼 : G2004 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2007 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2105 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2066 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2113 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2158 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1195 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1244 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1003 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1110 ,找無售價資料
20240821-21:33:35 - 藥碼 : G1010 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2175 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1093 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2037 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1247 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2143 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2065 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1240 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2189 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2138 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2153 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1095 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2126 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2029 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1176 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2076 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2200 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1118 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1041 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2135 ,找無售價資料
20240821-21:33:35 - 藥碼 : F2006 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2108 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2068 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2195 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1248 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2086 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1067 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1171 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1094 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2055 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2091 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2140 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1175 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2099 ,找無售價資料
20240821-21:33:35 - 藥碼 : G2020 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2081 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2145 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1078 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1102 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1217 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1014 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2133 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2051 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2012 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1101 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1037 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1150 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1187 ,找無售價資料
20240821-21:33:35 - 藥碼 : D2034 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1083 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1022 ,找無售價資料
20240821-21:33:35 - 藥碼 : D1179 ,找無售價資料
20240821-21:33:36 - 藥碼 : D2089 ,找無售價資料
20240821-21:33:36 - 藥碼 : D2063 ,找無售價資料
20240821-21:33:36 - 藥碼 : D1237 ,找無售價資料
20240821-21:33:36 - 藥碼 : D1105 ,找無售價資料
20240821-21:33:36 - 藥碼 : D2120 ,找無售價資料
20240821-21:33:36 - 藥碼 : D1141 ,找無售價資料
20240821-21:33:36 - 藥碼 : D1205 ,找無售價資料
20240821-21:33:36 - 藥碼 : F2010 ,找無售價資料
20240821-21:33:36 - 藥碼 : D1038 ,找無售價資料
20240821-21:33:36 - 藥碼 : D1172 ,找無售價資料
