20240823-11:04:15 - 取得開檔中藥檔共<1659>筆
20240823-11:04:15 - 取得藥庫庫存資料共<3873>筆
20240823-11:04:15 - 取得藥局庫存資料共<3873>筆
20240823-11:04:17 - 【庫存正常】藥碼 : 02008 ,藥庫庫存:1000,藥庫結存:1000   ,藥局庫存:556,藥局結存:556
20240823-11:04:18 - 【庫存正常】藥碼 : 02009 ,藥庫庫存:2000,藥庫結存:2000   ,藥局庫存:1619,藥局結存:1619
20240823-11:04:20 - 【庫存正常】藥碼 : 02022 ,藥庫庫存:3800,藥庫結存:3800   ,藥局庫存:2524,藥局結存:2524
20240823-11:04:21 - 【庫存正常】藥碼 : 02024 ,藥庫庫存:0,藥庫結存:0   ,藥局庫存:441,藥局結存:441
20240823-11:04:22 - 【庫存正常】藥碼 : 02025 ,藥庫庫存:0,藥庫結存:0   ,藥局庫存:876,藥局結存:876
20240823-11:04:23 - 【庫存正常】藥碼 : 02029 ,藥庫庫存:0,藥庫結存:0   ,藥局庫存:3804,藥局結存:3804
20240823-11:04:25 - 【庫存正常】藥碼 : 02034 ,藥庫庫存:1000,藥庫結存:1000   ,藥局庫存:2256,藥局結存:2256
20240823-11:04:26 - 【庫存正常】藥碼 : 02037 ,藥庫庫存:60,藥庫結存:60   ,藥局庫存:62,藥局結存:62
20240823-11:04:27 - 【庫存正常】藥碼 : 02041 ,藥庫庫存:100,藥庫結存:100   ,藥局庫存:97,藥局結存:97
20240823-11:04:30 - 【庫存正常】藥碼 : 02043 ,藥庫庫存:700,藥庫結存:700   ,藥局庫存:208,藥局結存:208
20240823-11:04:31 - 【庫存正常】藥碼 : 02044 ,藥庫庫存:1000,藥庫結存:1000   ,藥局庫存:671,藥局結存:671
20240823-11:04:32 - 【庫存正常】藥碼 : 02045 ,藥庫庫存:3500,藥庫結存:3500   ,藥局庫存:843,藥局結存:843
20240823-11:04:33 - 【庫存正常】藥碼 : 02047 ,藥庫庫存:360,藥庫結存:360   ,藥局庫存:71,藥局結存:71
20240823-11:04:34 - 【庫存正常】藥碼 : 02050 ,藥庫庫存:9000,藥庫結存:9000   ,藥局庫存:1200,藥局結存:1200
20240823-11:04:35 - 【庫存正常】藥碼 : 02052 ,藥庫庫存:2000,藥庫結存:2000   ,藥局庫存:1191,藥局結存:1191
20240823-11:04:36 - 【庫存正常】藥碼 : 03022 ,藥庫庫存:40,藥庫結存:40   ,藥局庫存:22,藥局結存:22
20240823-11:04:38 - 【庫存正常】藥碼 : 03102 ,藥庫庫存:450,藥庫結存:450   ,藥局庫存:62,藥局結存:62
20240823-11:04:40 - 【庫存正常】藥碼 : 03106 ,藥庫庫存:233,藥庫結存:233   ,藥局庫存:205,藥局結存:205
20240823-11:04:40 -  [找無藥庫交易紀錄]【庫存正常】藥碼 : 03108 ,藥庫庫存:0,藥庫結存:0   ,藥局庫存:14,藥局結存:14
20240823-11:04:41 - 【庫存正常】藥碼 : 03116 ,藥庫庫存:0,藥庫結存:0   ,藥局庫存:70,藥局結存:70
